,dataset,filename,result
0,left_480x80,02463d2294_rub.bmp,0
1,left_480x80,04233d1715_rub.bmp,0
2,left_480x80,04236d198_rub.bmp,0
3,left_480x80,04252d463_rub.bmp,0
4,left_480x80,04267d334_rub.bmp,2
5,left_480x80,04385d2679_rub.bmp,1
6,left_480x80,04397d1584_rub.bmp,0
7,left_480x80,04418d660_rub.bmp,2
8,left_480x80,04470d2889_rub.bmp,2
9,left_480x80,04511d751_rub.bmp,0
10,left_480x80,04513d368_rub.bmp,2
11,left_480x80,04537d1402_rub.bmp,2
12,left_480x80,04629d1455_rub.bmp,2
13,left_480x80,04649d319_rub.bmp,2
14,left_480x80,04725d688_rub.bmp,1
15,left_480x80,04738d384_rub.bmp,2
16,left_480x80,04815d1019_rub.bmp,1
17,left_480x80,04851d1528_rub.bmp,1
18,left_480x80,04870d1760_rub.bmp,0
19,left_480x80,04888d366_rub.bmp,0
20,left_480x80,04917d1247_rub.bmp,1
21,left_480x80,04975d132_rub.bmp,1
22,left_480x80,05011d248_rub.bmp,2
23,left_480x80,05015d189_rub.bmp,2
24,left_480x80,05027d526_rub.bmp,1
25,left_480x80,05028d570_rub.bmp,2
26,left_480x80,05033d2220_rub.bmp,1
27,left_480x80,05044d724_rub.bmp,2
28,left_480x80,05045d514_rub.bmp,0
29,left_480x80,05052d209_rub.bmp,2
30,left_480x80,05053d303_rub.bmp,2
31,left_480x80,05136d306_rub.bmp,1
32,left_480x80,05155d216_rub.bmp,0
33,left_480x80,05156d454_rub.bmp,1
34,left_480x80,05165d183_rub.bmp,0
35,left_480x80,05175d339_rub.bmp,2
36,left_480x80,05176d523_rub.bmp,1
37,left_480x80,05179d344_rub.bmp,0
38,left_480x80,05186d281_rub.bmp,2
39,left_480x80,05187d345_rub.bmp,2
40,left_480x80,05191d442_rub.bmp,2
41,left_480x80,05204d335_rub.bmp,0
42,left_480x80,05213d442_rub.bmp,1
43,left_480x80,05215d74_rub.bmp,1
44,left_480x80,05227d290_rub.bmp,2
45,left_480x80,05232d427_rub.bmp,2
46,left_480x80,05233d365_rub.bmp,2
47,left_480x80,05244d490_rub.bmp,2
48,left_480x80,05245d251_rub.bmp,2
49,left_480x80,05246d1146_rub.bmp,2
50,left_480x80,05248d911_rub.bmp,1
51,left_480x80,05256d417_rub.bmp,2
52,left_480x80,05268d108_rub.bmp,2
53,left_480x80,05270d352_rub.bmp,2
54,left_480x80,05271d823_rub.bmp,2
55,left_480x80,05281d36_rub.bmp,2
56,left_480x80,05284d231_rub.bmp,0
57,left_480x80,05288d258_rub.bmp,2
58,left_480x80,05289d134_rub.bmp,0
59,left_480x80,05290d170_rub.bmp,2
60,left_480x80,05292d184_rub.bmp,2
61,left_480x80,05293d876_rub.bmp,2
62,left_480x80,05294d61_rub.bmp,1
63,left_480x80,05297d87_rub.bmp,2
64,left_480x80,05298d114_rub.bmp,1
65,left_480x80,05299d40_rub.bmp,2
66,left_480x80,05300d311_rub.bmp,2
67,left_480x80,05301d205_rub.bmp,2
68,left_480x80,05302d65_rub.bmp,0
69,left_480x80,05303d250_rub.bmp,1
70,left_480x80,05304d119_rub.bmp,2
71,left_480x80,05305d154_rub.bmp,2
72,left_480x80,05306d94_rub.bmp,0
73,left_480x80,05308d492_rub.bmp,2
74,left_480x80,05310d882_rub.bmp,2
75,left_480x80,05312d94_rub.bmp,1
76,left_480x80,05313d27_rub.bmp,0
77,left_480x80,05314d248_rub.bmp,2
78,left_480x80,05315d95_rub.bmp,1
79,left_480x80,05316d56_rub.bmp,1
80,left_480x80,05317d210_rub.bmp,2
81,left_480x80,05318d214_rub.bmp,2
82,left_480x80,05320d162_rub.bmp,1
83,left_480x80,05321d244_rub.bmp,0
84,left_480x80,05324d174_rub.bmp,1
85,left_480x80,05334d3_rub.bmp,1
86,left_480x80,05337d435_rub.bmp,2
87,left_480x80,05338d360_rub.bmp,2
88,left_480x80,05340d73_rub.bmp,2
89,left_480x80,05341d132_rub.bmp,1
90,left_480x80,05342d83_rub.bmp,1
91,left_480x80,05344d274_rub.bmp,2
92,left_480x80,05355d78_rub.bmp,2
93,left_480x80,05359d14_rub.bmp,2
94,left_480x80,05364d101_rub.bmp,2
95,left_480x80,05366d855_rub.bmp,1
96,left_480x80,05367d428_rub.bmp,2
97,left_480x80,05368d290_rub.bmp,1
98,left_480x80,05369d186_rub.bmp,2
99,left_480x80,05373d180_rub.bmp,2
100,left_480x80,05374d40_rub.bmp,2
101,left_480x80,05375d377_rub.bmp,2
102,left_480x80,05377d138_rub.bmp,2
103,left_480x80,05379d889_rub.bmp,1
104,left_480x80,05380d157_rub.bmp,1
105,left_480x80,05381d53_rub.bmp,2
106,left_480x80,05382d370_rub.bmp,0
107,left_480x80,05383d54_rub.bmp,1
108,left_480x80,05386d130_rub.bmp,2
109,left_480x80,05387d70_rub.bmp,1
110,left_480x80,05389d157_rub.bmp,0
111,left_480x80,05390d50_rub.bmp,2
112,left_480x80,05392d137_rub.bmp,2
113,left_480x80,05394d241_rub.bmp,2
114,left_480x80,05396d55_rub.bmp,0
115,left_480x80,05399d287_rub.bmp,2
116,left_480x80,05401d122_rub.bmp,2
117,left_480x80,05404d37_rub.bmp,1
118,left_480x80,05405d116_rub.bmp,1
119,left_480x80,05406d154_rub.bmp,1
120,left_480x80,05407d161_rub.bmp,2
121,left_480x80,05408d945_rub.bmp,2
122,left_480x80,05409d729_rub.bmp,1
123,left_480x80,05411d112_rub.bmp,2
124,left_480x80,05412d140_rub.bmp,1
125,left_480x80,05415d1719_rub.bmp,1
126,left_480x80,05417d42_rub.bmp,2
127,left_480x80,05418d43_rub.bmp,0
128,left_480x80,05419d131_rub.bmp,2
129,left_480x80,05421d233_rub.bmp,2
130,left_480x80,05429d50_rub.bmp,2
131,left_480x80,05430d73_rub.bmp,2
132,left_480x80,05432d1281_rub.bmp,0
133,left_480x80,05434d39_rub.bmp,2
134,left_480x80,05435d53_rub.bmp,2
135,left_480x80,05439d30_rub.bmp,2
136,left_480x80,05440d30_rub.bmp,2
137,left_480x80,05441d150_rub.bmp,0
138,left_480x80,05442d523_rub.bmp,1
139,left_480x80,05443d28_rub.bmp,1
140,left_480x80,05444d69_rub.bmp,1
141,left_480x80,05445d251_rub.bmp,1
142,left_480x80,05446d26_rub.bmp,1
143,left_480x80,05447d127_rub.bmp,1
144,left_480x80,05448d135_rub.bmp,1
145,left_480x80,05449d36_rub.bmp,2
146,left_480x80,05450d1361_rub.bmp,2
147,left_480x80,05451d26_rub.bmp,1
148,left_480x80,05452d26_rub.bmp,0
149,left_480x80,05453d30_rub.bmp,2
150,left_480x80,05454d106_rub.bmp,0
151,left_480x80,05455d837_rub.bmp,2
152,left_480x80,05456d870_rub.bmp,2
153,left_480x80,05457d28_rub.bmp,2
154,left_480x80,05458d30_rub.bmp,2
155,left_480x80,05459d367_rub.bmp,1
156,left_480x80,05460d103_rub.bmp,1
157,left_480x80,05461d132_rub.bmp,1
158,left_480x80,05462d98_rub.bmp,2
159,left_480x80,05463d158_rub.bmp,1
160,left_480x80,05464d28_rub.bmp,2
161,left_480x80,05465d143_rub.bmp,1
162,left_480x80,05466d179_rub.bmp,2
163,left_480x80,05467d37_rub.bmp,1
164,left_480x80,05469d111_rub.bmp,2
165,left_480x80,05470d144_rub.bmp,2
166,left_480x80,05472d66_rub.bmp,2
167,left_480x80,05473d65_rub.bmp,2
168,left_480x80,05474d31_rub.bmp,2
169,left_480x80,05475d29_rub.bmp,2
170,left_480x80,05476d29_rub.bmp,2
171,left_480x80,05477d235_rub.bmp,0
172,left_480x80,05478d540_rub.bmp,2
173,left_480x80,05479d140_rub.bmp,1
174,left_480x80,05480d67_rub.bmp,2
175,left_480x80,05481d477_rub.bmp,2
176,left_480x80,05482d367_rub.bmp,1
177,left_480x80,05483d31_rub.bmp,1
178,left_480x80,05484d324_rub.bmp,2
179,left_480x80,05485d96_rub.bmp,2
180,left_480x80,05486d213_rub.bmp,2
181,left_480x80,05487d48_rub.bmp,2
182,left_480x80,05488d28_rub.bmp,2
183,left_480x80,05489d361_rub.bmp,1
184,left_480x80,05490d467_rub.bmp,1
185,left_480x80,05491d150_rub.bmp,2
186,left_480x80,05492d172_rub.bmp,1
187,left_480x80,05493d305_rub.bmp,2
188,left_480x80,05494d70_rub.bmp,2
189,left_480x80,05495d27_rub.bmp,1
190,left_480x80,05497d28_rub.bmp,2
191,left_480x80,05498d96_rub.bmp,1
192,left_480x80,05499d51_rub.bmp,2
193,left_480x80,05500d392_rub.bmp,2
194,left_480x80,05501d422_rub.bmp,1
195,left_480x80,05502d129_rub.bmp,2
196,left_480x80,05503d69_rub.bmp,2
197,left_480x80,05504d169_rub.bmp,1
198,left_480x80,05505d263_rub.bmp,2
199,left_480x80,05506d28_rub.bmp,1
200,left_480x80,05507d27_rub.bmp,2
201,left_480x80,05508d38_rub.bmp,2
202,left_480x80,05509d30_rub.bmp,1
203,left_480x80,05510d382_rub.bmp,2
204,left_480x80,05511d106_rub.bmp,2
205,left_480x80,05512d461_rub.bmp,2
206,left_480x80,05513d416_rub.bmp,2
207,left_480x80,05515d27_rub.bmp,2
208,left_480x80,05517d846_rub.bmp,1
209,left_480x80,05518d62_rub.bmp,2
210,left_480x80,05519d36_rub.bmp,1
211,left_480x80,05520d193_rub.bmp,1
212,left_480x80,05521d16_rub.bmp,0
213,left_480x80,05522d342_rub.bmp,2
214,left_480x80,05523d193_rub.bmp,1
215,left_480x80,05524d120_rub.bmp,2
216,left_480x80,05525d31_rub.bmp,1
217,left_480x80,05526d175_rub.bmp,2
218,left_480x80,05527d16_rub.bmp,2
219,left_480x80,05528d45_rub.bmp,1
220,left_480x80,05529d96_rub.bmp,2
221,left_480x80,05530d209_rub.bmp,1
222,left_480x80,05531d549_rub.bmp,2
223,left_480x80,05532d34_rub.bmp,0
224,left_480x80,05533d14_rub.bmp,1
225,left_480x80,05534d29_rub.bmp,0
226,left_480x80,05535d28_rub.bmp,1
227,left_480x80,05536d47_rub.bmp,1
228,left_480x80,05537d116_rub.bmp,1
229,left_480x80,05538d18_rub.bmp,2
230,left_480x80,05539d80_rub.bmp,0
231,left_480x80,05540d442_rub.bmp,2
232,left_480x80,05541d1421_rub.bmp,1
233,left_480x80,05542d183_rub.bmp,2
234,left_480x80,05543d77_rub.bmp,2
235,left_480x80,05544d17_rub.bmp,2
236,left_480x80,05545d257_rub.bmp,1
237,left_480x80,05546d15_rub.bmp,0
238,left_480x80,05547d675_rub.bmp,1
239,left_480x80,05548d18_rub.bmp,2
240,left_480x80,05549d14_rub.bmp,0
