,dataset,filename,result
0,left_240x20_irisbee,05463d158-normalized.ppm,1
1,left_240x20_irisbee,90312d1-normalized.ppm,0
2,left_240x20_irisbee,05720d291-normalized.ppm,2
3,left_240x20_irisbee,05417d42-normalized.ppm,2
4,left_240x20_irisbee,90386d1-normalized.ppm,2
5,left_240x20_irisbee,06283d5-normalized.ppm,1
6,left_240x20_irisbee,05557d70-normalized.ppm,2
7,left_240x20_irisbee,05714d224-normalized.ppm,2
8,left_240x20_irisbee,06547d285-normalized.ppm,1
9,left_240x20_irisbee,06076d267-normalized.ppm,1
10,left_240x20_irisbee,05727d29-normalized.ppm,2
11,left_240x20_irisbee,06181d317-normalized.ppm,0
12,left_240x20_irisbee,06492d486-normalized.ppm,1
13,left_240x20_irisbee,06213d5-normalized.ppm,0
14,left_240x20_irisbee,05631d4-normalized.ppm,0
15,left_240x20_irisbee,05499d51-normalized.ppm,2
16,left_240x20_irisbee,05939d16-normalized.ppm,1
17,left_240x20_irisbee,06442d3-normalized.ppm,2
18,left_240x20_irisbee,05787d695-normalized.ppm,1
19,left_240x20_irisbee,05641d2-normalized.ppm,2
20,left_240x20_irisbee,06072d680-normalized.ppm,1
21,left_240x20_irisbee,05386d130-normalized.ppm,1
22,left_240x20_irisbee,06012d1029-normalized.ppm,1
23,left_240x20_irisbee,05704d47-normalized.ppm,1
24,left_240x20_irisbee,05596d442-normalized.ppm,2
25,left_240x20_irisbee,06598d192-normalized.ppm,2
26,left_240x20_irisbee,04917d1247-normalized.ppm,1
27,left_240x20_irisbee,05997d37-normalized.ppm,2
28,left_240x20_irisbee,06366d134-normalized.ppm,1
29,left_240x20_irisbee,05679d645-normalized.ppm,2
30,left_240x20_irisbee,06020d47-normalized.ppm,2
31,left_240x20_irisbee,05772d1-normalized.ppm,1
32,left_240x20_irisbee,05990d37-normalized.ppm,2
33,left_240x20_irisbee,06363d3-normalized.ppm,2
34,left_240x20_irisbee,05905d16-normalized.ppm,1
35,left_240x20_irisbee,05566d18-normalized.ppm,1
36,left_240x20_irisbee,05491d150-normalized.ppm,2
37,left_240x20_irisbee,06328d603-normalized.ppm,1
38,left_240x20_irisbee,05983d35-normalized.ppm,2
39,left_240x20_irisbee,05638d99-normalized.ppm,0
40,left_240x20_irisbee,05579d14-normalized.ppm,1
41,left_240x20_irisbee,06425d135-normalized.ppm,1
42,left_240x20_irisbee,06261d326-normalized.ppm,0
43,left_240x20_irisbee,90327d3-normalized.ppm,0
44,left_240x20_irisbee,90347d3-normalized.ppm,0
45,left_240x20_irisbee,05874d35-normalized.ppm,0
46,left_240x20_irisbee,06669d88-normalized.ppm,2
47,left_240x20_irisbee,06431d1-normalized.ppm,2
48,left_240x20_irisbee,05799d92-normalized.ppm,2
49,left_240x20_irisbee,05493d305-normalized.ppm,0
50,left_240x20_irisbee,06590d6-normalized.ppm,1
51,left_240x20_irisbee,06454d26-normalized.ppm,2
52,left_240x20_irisbee,06554d34-normalized.ppm,2
53,left_240x20_irisbee,05176d523-normalized.ppm,1
54,left_240x20_irisbee,05928d12-normalized.ppm,2
55,left_240x20_irisbee,05308d492-normalized.ppm,2
56,left_240x20_irisbee,05867d35-normalized.ppm,2
57,left_240x20_irisbee,05529d96-normalized.ppm,0
58,left_240x20_irisbee,90275d3-normalized.ppm,2
59,left_240x20_irisbee,06576d294-normalized.ppm,2
60,left_240x20_irisbee,05585d150-normalized.ppm,2
61,left_240x20_irisbee,05946d86-normalized.ppm,2
62,left_240x20_irisbee,05876d26-normalized.ppm,2
63,left_240x20_irisbee,06544d41-normalized.ppm,2
64,left_240x20_irisbee,90296d3-normalized.ppm,2
65,left_240x20_irisbee,05907d288-normalized.ppm,2
66,left_240x20_irisbee,06517d41-normalized.ppm,1
67,left_240x20_irisbee,06691d79-normalized.ppm,2
68,left_240x20_irisbee,05948d90-normalized.ppm,1
69,left_240x20_irisbee,05634d223-normalized.ppm,0
70,left_240x20_irisbee,06520d418-normalized.ppm,1
71,left_240x20_irisbee,90306d1-normalized.ppm,2
72,left_240x20_irisbee,06067d56-normalized.ppm,2
73,left_240x20_irisbee,06216d195-normalized.ppm,2
74,left_240x20_irisbee,06322d334-normalized.ppm,1
75,left_240x20_irisbee,05359d14-normalized.ppm,1
76,left_240x20_irisbee,05970d39-normalized.ppm,1
77,left_240x20_irisbee,06243d5-normalized.ppm,2
78,left_240x20_irisbee,06344d182-normalized.ppm,1
79,left_240x20_irisbee,05943d50-normalized.ppm,1
80,left_240x20_irisbee,05246d1146-normalized.ppm,2
81,left_240x20_irisbee,05759d18-normalized.ppm,1
82,left_240x20_irisbee,90360d1-normalized.ppm,1
83,left_240x20_irisbee,05813d78-normalized.ppm,2
84,left_240x20_irisbee,05588d14-normalized.ppm,1
85,left_240x20_irisbee,05887d12-normalized.ppm,1
86,left_240x20_irisbee,90146d85-normalized.ppm,2
87,left_240x20_irisbee,06593d322-normalized.ppm,1
88,left_240x20_irisbee,05457d28-normalized.ppm,1
89,left_240x20_irisbee,06183d1-normalized.ppm,0
90,left_240x20_irisbee,06357d1-normalized.ppm,0
91,left_240x20_irisbee,90293d1-normalized.ppm,0
92,left_240x20_irisbee,06112d5-normalized.ppm,2
93,left_240x20_irisbee,06129d353-normalized.ppm,2
94,left_240x20_irisbee,04537d1402-normalized.ppm,1
95,left_240x20_irisbee,06635d78-normalized.ppm,1
96,left_240x20_irisbee,06556d291-normalized.ppm,1
