,database,dataset,partition,method,accuracy
0,UND_GFI,left_240x40,1,cnn_dropout_simpler,59.36455130577088
1,UND_GFI,left_240x40,1,cnn_simpler,62.20735907554626
2,UND_GFI,left_240x40,1,cnn_dropout,59.86621975898743
3,UND_GFI,left_240x40,1,cnn,60.70234179496765
4,UND_GFI,left_240x40,2,cnn_dropout_simpler,59.531772136688225
5,UND_GFI,left_240x40,2,cnn_simpler,60.033446550369256
6,UND_GFI,left_240x40,2,cnn_dropout,60.033446550369256
7,UND_GFI,left_240x40,2,cnn,54.84949946403504
8,UND_GFI,left_240x40,3,cnn_dropout_simpler,60.36789417266846
9,UND_GFI,left_240x40,3,cnn_simpler,61.20401620864868
10,UND_GFI,left_240x40,3,cnn_dropout,59.69899892807007
11,UND_GFI,left_240x40,3,cnn,59.86621975898743
12,UND_GFI,left_240x40,4,cnn_dropout_simpler,62.04013228416443
13,UND_GFI,left_240x40,4,cnn_simpler,63.21070194244385
14,UND_GFI,left_240x40,4,cnn_dropout,60.033446550369256
15,UND_GFI,left_240x40,4,cnn,59.69899892807007
16,UND_GFI,left_240x40,5,cnn_dropout_simpler,57.692307233810425
17,UND_GFI,left_240x40,5,cnn_simpler,61.03678941726685
18,UND_GFI,left_240x40,5,cnn_dropout,63.21070194244385
19,UND_GFI,left_240x40,5,cnn,54.682272672653205
20,UND_GFI,left_240x40,6,cnn_dropout_simpler,60.70234179496765
21,UND_GFI,left_240x40,6,cnn_simpler,61.70568466186523
22,UND_GFI,left_240x40,6,cnn_dropout,59.531772136688225
23,UND_GFI,left_240x40,6,cnn,60.20066738128662
24,UND_GFI,left_240x40,7,cnn_dropout_simpler,60.86956262588501
25,UND_GFI,left_240x40,7,cnn_simpler,61.20401620864868
26,UND_GFI,left_240x40,7,cnn_dropout,59.531772136688225
27,UND_GFI,left_240x40,7,cnn,57.85953402519226
28,UND_GFI,left_240x40,8,cnn_dropout_simpler,60.20066738128662
29,UND_GFI,left_240x40,8,cnn_simpler,58.36120247840881
30,UND_GFI,left_240x40,8,cnn_dropout,58.52842926979065
31,UND_GFI,left_240x40,8,cnn,57.525086402893066
32,UND_GFI,left_240x40,9,cnn_dropout_simpler,61.53846383094788
33,UND_GFI,left_240x40,9,cnn_simpler,62.70902752876282
34,UND_GFI,left_240x40,9,cnn_dropout,60.033446550369256
35,UND_GFI,left_240x40,9,cnn,61.03678941726685
36,UND_GFI,left_240x40,10,cnn_dropout_simpler,57.525086402893066
37,UND_GFI,left_240x40,10,cnn_simpler,60.70234179496765
38,UND_GFI,left_240x40,10,cnn_dropout,58.52842926979065
39,UND_GFI,left_240x40,10,cnn,58.862876892089844
40,UND_GFI,right_240x40,1,cnn_dropout_simpler,60.10100841522217
41,UND_GFI,right_240x40,1,cnn_simpler,61.616164445877075
42,UND_GFI,right_240x40,1,cnn_dropout,61.78451180458069
43,UND_GFI,right_240x40,1,cnn,57.91245698928833
44,UND_GFI,right_240x40,2,cnn_dropout_simpler,62.62626051902771
45,UND_GFI,right_240x40,2,cnn_simpler,62.12121248245239
46,UND_GFI,right_240x40,2,cnn_dropout,63.131314516067505
47,UND_GFI,right_240x40,2,cnn,60.437709093093865
48,UND_GFI,right_240x40,3,cnn_dropout_simpler,64.98316526412964
49,UND_GFI,right_240x40,3,cnn_simpler,63.29966187477112
50,UND_GFI,right_240x40,3,cnn_dropout,57.74410963058472
51,UND_GFI,right_240x40,3,cnn,60.437709093093865
52,UND_GFI,right_240x40,4,cnn_dropout_simpler,58.41751098632813
53,UND_GFI,right_240x40,4,cnn_simpler,60.942763090133674
54,UND_GFI,right_240x40,4,cnn_dropout,59.59596037864685
55,UND_GFI,right_240x40,4,cnn,59.25925970077515
56,UND_GFI,right_240x40,5,cnn_dropout_simpler,65.48821330070497
57,UND_GFI,right_240x40,5,cnn_simpler,63.29966187477112
58,UND_GFI,right_240x40,5,cnn_dropout,63.63636255264282
59,UND_GFI,right_240x40,5,cnn,64.14141654968262
60,UND_GFI,right_240x40,6,cnn_dropout_simpler,60.60606241226196
61,UND_GFI,right_240x40,6,cnn_simpler,58.08081030845642
62,UND_GFI,right_240x40,6,cnn_dropout,61.11111044883728
63,UND_GFI,right_240x40,6,cnn,60.60606241226196
64,UND_GFI,right_240x40,7,cnn_dropout_simpler,64.47811722755432
65,UND_GFI,right_240x40,7,cnn_simpler,62.96296119689941
66,UND_GFI,right_240x40,7,cnn_dropout,58.75421166419983
67,UND_GFI,right_240x40,7,cnn,59.764307737350464
68,UND_GFI,right_240x40,8,cnn_dropout_simpler,63.131314516067505
69,UND_GFI,right_240x40,8,cnn_simpler,61.11111044883728
70,UND_GFI,right_240x40,8,cnn_dropout,59.93266105651856
71,UND_GFI,right_240x40,8,cnn,63.804715871810906
72,UND_GFI,right_240x40,9,cnn_dropout_simpler,60.774409770965576
73,UND_GFI,right_240x40,9,cnn_simpler,60.60606241226196
74,UND_GFI,right_240x40,9,cnn_dropout,60.942763090133674
75,UND_GFI,right_240x40,9,cnn,62.7946138381958
76,UND_GFI,right_240x40,10,cnn_dropout_simpler,60.774409770965576
77,UND_GFI,right_240x40,10,cnn_simpler,58.41751098632813
78,UND_GFI,right_240x40,10,cnn_dropout,62.289559841156006
79,UND_GFI,right_240x40,10,cnn,61.27946376800537
80,UND_GFI,left_480x80,1,cnn_dropout_simpler,59.0300977230072
81,UND_GFI,left_480x80,1,cnn_simpler,58.36120247840881
82,UND_GFI,left_480x80,1,cnn_dropout,57.85953402519226
83,UND_GFI,left_480x80,1,cnn,60.03344655036926
84,UND_GFI,left_480x80,2,cnn_dropout_simpler,58.193981647491455
85,UND_GFI,left_480x80,2,cnn_simpler,57.692307233810425
86,UND_GFI,left_480x80,2,cnn_dropout,58.862876892089844
87,UND_GFI,left_480x80,2,cnn,57.692307233810425
88,UND_GFI,left_480x80,3,cnn_dropout_simpler,63.21070194244385
89,UND_GFI,left_480x80,3,cnn_simpler,62.207359075546265
90,UND_GFI,left_480x80,3,cnn_dropout,60.535115003585815
91,UND_GFI,left_480x80,3,cnn,60.70234179496765
92,UND_GFI,left_480x80,4,cnn_dropout_simpler,60.70234179496765
93,UND_GFI,left_480x80,4,cnn_simpler,59.86621975898743
94,UND_GFI,left_480x80,4,cnn_dropout,60.20066738128662
95,UND_GFI,left_480x80,4,cnn,60.20066738128662
96,UND_GFI,left_480x80,5,cnn_dropout_simpler,58.69565010070801
97,UND_GFI,left_480x80,5,cnn_simpler,60.20066738128662
98,UND_GFI,left_480x80,5,cnn_dropout,58.69565010070801
99,UND_GFI,left_480x80,5,cnn,60.86956262588501
100,UND_GFI,left_480x80,6,cnn_dropout_simpler,63.21070194244385
101,UND_GFI,left_480x80,6,cnn_simpler,60.86956262588501
102,UND_GFI,left_480x80,6,cnn_dropout,62.87625432014465
103,UND_GFI,left_480x80,6,cnn,62.54180669784546
104,UND_GFI,left_480x80,7,cnn_dropout_simpler,62.04013228416443
105,UND_GFI,left_480x80,7,cnn_simpler,62.87625432014465
106,UND_GFI,left_480x80,7,cnn_dropout,60.03344655036926
107,UND_GFI,left_480x80,7,cnn,59.69899892807007
108,UND_GFI,left_480x80,8,cnn_dropout_simpler,60.86956262588501
109,UND_GFI,left_480x80,8,cnn_simpler,60.535115003585815
110,UND_GFI,left_480x80,8,cnn_dropout,57.35785961151123
111,UND_GFI,left_480x80,8,cnn,57.85953402519226
112,UND_GFI,left_480x80,9,cnn_dropout_simpler,59.0300977230072
113,UND_GFI,left_480x80,9,cnn_simpler,56.35451674461365
114,UND_GFI,left_480x80,9,cnn_dropout,62.04013228416443
115,UND_GFI,left_480x80,9,cnn,59.0300977230072
116,UND_GFI,left_480x80,10,cnn_dropout_simpler,60.535115003585815
117,UND_GFI,left_480x80,10,cnn_simpler,60.36789417266846
118,UND_GFI,left_480x80,10,cnn_dropout,57.525086402893066
119,UND_GFI,left_480x80,10,cnn,59.364551305770874
120,UND_GFI,right_480x80,1,cnn_dropout_simpler,62.289559841156006
121,UND_GFI,right_480x80,1,cnn_simpler,62.62626051902771
122,UND_GFI,right_480x80,1,cnn_dropout,63.46801519393921
123,UND_GFI,right_480x80,1,cnn,62.12121248245239
124,UND_GFI,right_480x80,2,cnn_dropout_simpler,61.9528591632843
125,UND_GFI,right_480x80,2,cnn_simpler,61.11111044883728
126,UND_GFI,right_480x80,2,cnn_dropout,61.616164445877075
127,UND_GFI,right_480x80,2,cnn,61.11111044883728
128,UND_GFI,right_480x80,3,cnn_dropout_simpler,62.62626051902771
129,UND_GFI,right_480x80,3,cnn_simpler,64.30976390838623
130,UND_GFI,right_480x80,3,cnn_dropout,57.74410963058472
131,UND_GFI,right_480x80,3,cnn,61.27946376800537
132,UND_GFI,right_480x80,4,cnn_dropout_simpler,57.74410963058472
133,UND_GFI,right_480x80,4,cnn_simpler,60.10100841522217
134,UND_GFI,right_480x80,4,cnn_dropout,61.616164445877075
135,UND_GFI,right_480x80,4,cnn,56.734007596969604
136,UND_GFI,right_480x80,5,cnn_dropout_simpler,63.80471587181091
137,UND_GFI,right_480x80,5,cnn_simpler,63.80471587181091
138,UND_GFI,right_480x80,5,cnn_dropout,60.60606241226196
139,UND_GFI,right_480x80,5,cnn,61.616164445877075
140,UND_GFI,right_480x80,6,cnn_dropout_simpler,58.92255902290344
141,UND_GFI,right_480x80,6,cnn_simpler,60.774409770965576
142,UND_GFI,right_480x80,6,cnn_dropout,59.932661056518555
143,UND_GFI,right_480x80,6,cnn,54.04040217399597
144,UND_GFI,right_480x80,7,cnn_dropout_simpler,61.27946376800537
145,UND_GFI,right_480x80,7,cnn_simpler,60.94276309013367
146,UND_GFI,right_480x80,7,cnn_dropout,63.80471587181091
147,UND_GFI,right_480x80,7,cnn,66.16161465644836
148,UND_GFI,right_480x80,8,cnn_dropout_simpler,59.764307737350464
149,UND_GFI,right_480x80,8,cnn_simpler,63.973063230514526
150,UND_GFI,right_480x80,8,cnn_dropout,59.932661056518555
151,UND_GFI,right_480x80,8,cnn,62.962961196899414
152,UND_GFI,right_480x80,9,cnn_dropout_simpler,61.27946376800537
153,UND_GFI,right_480x80,9,cnn_simpler,61.616164445877075
154,UND_GFI,right_480x80,9,cnn_dropout,59.764307737350464
155,UND_GFI,right_480x80,9,cnn,60.43770909309387
156,UND_GFI,right_480x80,10,cnn_dropout_simpler,60.26936173439026
157,UND_GFI,right_480x80,10,cnn_simpler,58.75421166419983
158,UND_GFI,right_480x80,10,cnn_dropout,60.10100841522217
159,UND_GFI,right_480x80,10,cnn,59.090906381607056
