,database,dataset,partition,method,accuracy
0,UND_GFI,left_240x40,1,cnn_dropout_simpler,56.18728995323181
1,UND_GFI,left_240x40,1,cnn_simpler,56.18728995323181
2,UND_GFI,left_240x40,1,cnn_dropout,50.0
3,UND_GFI,left_240x40,1,cnn,50.0
4,UND_GFI,left_240x40,2,cnn_dropout_simpler,59.36455130577088
5,UND_GFI,left_240x40,2,cnn_simpler,59.69899892807007
6,UND_GFI,left_240x40,2,cnn_dropout,55.68562150001526
7,UND_GFI,left_240x40,2,cnn,59.53177213668823
8,UND_GFI,left_240x40,3,cnn_dropout_simpler,56.521737575531006
9,UND_GFI,left_240x40,3,cnn_simpler,54.84949946403504
10,UND_GFI,left_240x40,3,cnn_dropout,58.36120247840881
11,UND_GFI,left_240x40,3,cnn,56.68896436691284
12,UND_GFI,left_240x40,4,cnn_dropout_simpler,58.69565010070801
13,UND_GFI,left_240x40,4,cnn_simpler,60.535115003585815
14,UND_GFI,left_240x40,4,cnn_dropout,56.521737575531006
15,UND_GFI,left_240x40,4,cnn,60.03344655036926
16,UND_GFI,left_240x40,5,cnn_dropout_simpler,59.69899892807007
17,UND_GFI,left_240x40,5,cnn_simpler,56.521737575531006
18,UND_GFI,left_240x40,5,cnn_dropout,59.0300977230072
19,UND_GFI,left_240x40,5,cnn,53.34448218345642
20,UND_GFI,left_240x40,6,cnn_dropout_simpler,59.53177213668823
21,UND_GFI,left_240x40,6,cnn_simpler,61.036789417266846
22,UND_GFI,left_240x40,6,cnn_dropout,57.85953402519226
23,UND_GFI,left_240x40,6,cnn,54.51505184173584
24,UND_GFI,left_240x40,7,cnn_dropout_simpler,60.20066738128662
25,UND_GFI,left_240x40,7,cnn_simpler,59.86621975898743
26,UND_GFI,left_240x40,7,cnn_dropout,55.51839470863342
27,UND_GFI,left_240x40,7,cnn,58.02675485610962
28,UND_GFI,left_240x40,8,cnn_dropout_simpler,60.20066738128662
29,UND_GFI,left_240x40,8,cnn_simpler,58.86287689208984
30,UND_GFI,left_240x40,8,cnn_dropout,57.85953402519226
31,UND_GFI,left_240x40,8,cnn,58.02675485610962
32,UND_GFI,left_240x40,9,cnn_dropout_simpler,59.53177213668823
33,UND_GFI,left_240x40,9,cnn_simpler,56.521737575531006
34,UND_GFI,left_240x40,9,cnn_dropout,57.525086402893066
35,UND_GFI,left_240x40,9,cnn,54.01337742805481
36,UND_GFI,left_240x40,10,cnn_dropout_simpler,60.03344655036926
37,UND_GFI,left_240x40,10,cnn_simpler,59.53177213668823
38,UND_GFI,left_240x40,10,cnn_dropout,59.36455130577088
39,UND_GFI,left_240x40,10,cnn,55.35116791725159
40,UND_GFI,right_240x40,1,cnn_dropout_simpler,54.54545617103577
41,UND_GFI,right_240x40,1,cnn_simpler,52.02020406723023
42,UND_GFI,right_240x40,1,cnn_dropout,50.0
43,UND_GFI,right_240x40,1,cnn,50.0
44,UND_GFI,right_240x40,2,cnn_dropout_simpler,54.20875549316406
45,UND_GFI,right_240x40,2,cnn_simpler,53.87205481529236
46,UND_GFI,right_240x40,2,cnn_dropout,55.218857526779175
47,UND_GFI,right_240x40,2,cnn,55.38720488548279
48,UND_GFI,right_240x40,3,cnn_dropout_simpler,53.535354137420654
49,UND_GFI,right_240x40,3,cnn_simpler,53.535354137420654
50,UND_GFI,right_240x40,3,cnn_dropout,56.90235495567322
51,UND_GFI,right_240x40,3,cnn,54.20875549316406
52,UND_GFI,right_240x40,4,cnn_dropout_simpler,58.58585834503174
53,UND_GFI,right_240x40,4,cnn_simpler,55.55555820465088
54,UND_GFI,right_240x40,4,cnn_dropout,54.71380352973938
55,UND_GFI,right_240x40,4,cnn,58.75421166419983
56,UND_GFI,right_240x40,5,cnn_dropout_simpler,60.94276309013367
57,UND_GFI,right_240x40,5,cnn_simpler,58.249157667160034
58,UND_GFI,right_240x40,5,cnn_dropout,56.0606062412262
59,UND_GFI,right_240x40,5,cnn,60.43770909309387
60,UND_GFI,right_240x40,6,cnn_dropout_simpler,54.88215684890747
61,UND_GFI,right_240x40,6,cnn_simpler,55.892252922058105
62,UND_GFI,right_240x40,6,cnn_dropout,57.40740895271301
63,UND_GFI,right_240x40,6,cnn,55.218857526779175
64,UND_GFI,right_240x40,7,cnn_dropout_simpler,62.4579131603241
65,UND_GFI,right_240x40,7,cnn_simpler,58.92255902290344
66,UND_GFI,right_240x40,7,cnn_dropout,57.07070827484131
67,UND_GFI,right_240x40,7,cnn,50.67340135574341
68,UND_GFI,right_240x40,8,cnn_dropout_simpler,57.40740895271301
69,UND_GFI,right_240x40,8,cnn_simpler,59.42760705947876
70,UND_GFI,right_240x40,8,cnn_dropout,52.18855142593384
