,path,size,sensor,eye,id_number,gender
0,../NDIRIS_240x20/LG4000/left/NormalizedImages/05724d371_imno.bmp,240x20,LG4000,left,5724,0
1,../NDIRIS_240x20/LG4000/left/NormalizedImages/05344d134_imno.bmp,240x20,LG4000,left,5344,0
2,../NDIRIS_240x20/LG4000/left/NormalizedImages/05484d289_imno.bmp,240x20,LG4000,left,5484,0
3,../NDIRIS_240x20/LG4000/left/NormalizedImages/05804d240_imno.bmp,240x20,LG4000,left,5804,1
4,../NDIRIS_240x20/LG4000/left/NormalizedImages/06002d125_imno.bmp,240x20,LG4000,left,6002,0
5,../NDIRIS_240x20/LG4000/left/NormalizedImages/05463d458_imno.bmp,240x20,LG4000,left,5463,0
6,../NDIRIS_240x20/LG4000/left/NormalizedImages/06046d255_imno.bmp,240x20,LG4000,left,6046,1
7,../NDIRIS_240x20/LG4000/left/NormalizedImages/05884d170_imno.bmp,240x20,LG4000,left,5884,0
8,../NDIRIS_240x20/LG4000/left/NormalizedImages/05366d433_imno.bmp,240x20,LG4000,left,5366,1
9,../NDIRIS_240x20/LG4000/left/NormalizedImages/05367d140_imno.bmp,240x20,LG4000,left,5367,0
10,../NDIRIS_240x20/LG4000/left/NormalizedImages/05597d26_imno.bmp,240x20,LG4000,left,5597,0
11,../NDIRIS_240x20/LG4000/left/NormalizedImages/05213d479_imno.bmp,240x20,LG4000,left,5213,0
12,../NDIRIS_240x20/LG4000/left/NormalizedImages/05389d261_imno.bmp,240x20,LG4000,left,5389,0
13,../NDIRIS_240x20/LG4000/left/NormalizedImages/05512d103_imno.bmp,240x20,LG4000,left,5512,0
14,../NDIRIS_240x20/LG4000/left/NormalizedImages/05531d910_imno.bmp,240x20,LG4000,left,5531,1
15,../NDIRIS_240x20/LG4000/left/NormalizedImages/05799d120_imno.bmp,240x20,LG4000,left,5799,0
16,../NDIRIS_240x20/LG4000/left/NormalizedImages/06079d116_imno.bmp,240x20,LG4000,left,6079,0
17,../NDIRIS_240x20/LG4000/left/NormalizedImages/05514d38_imno.bmp,240x20,LG4000,left,5514,0
