,database,dataset,partition,method,accuracy
0,UND_GFI,left_240x20,1,mlp_0,53.678929805755615
1,UND_GFI,left_240x20,1,mlp_1,54.51505184173584
2,UND_GFI,left_240x20,1,mlp_2,57.023411989212036
3,UND_GFI,left_240x20,1,mlp_3,53.84615659713745
4,UND_GFI,left_240x20,1,mlp_4,55.01672029495239
5,UND_GFI,left_240x20,1,mlp_5,56.68896436691284
6,UND_GFI,left_240x20,2,mlp_0,53.34448218345642
7,UND_GFI,left_240x20,2,mlp_1,54.180604219436646
8,UND_GFI,left_240x20,2,mlp_2,55.68562150001526
9,UND_GFI,left_240x20,2,mlp_3,55.18394708633423
10,UND_GFI,left_240x20,2,mlp_4,54.51505184173584
11,UND_GFI,left_240x20,2,mlp_5,53.17725539207458
12,UND_GFI,left_240x20,3,mlp_0,54.51505184173584
13,UND_GFI,left_240x20,3,mlp_1,54.347825050354004
14,UND_GFI,left_240x20,3,mlp_2,55.68562150001526
15,UND_GFI,left_240x20,3,mlp_3,57.190632820129395
16,UND_GFI,left_240x20,3,mlp_4,53.84615659713745
17,UND_GFI,left_240x20,3,mlp_5,56.68896436691284
18,UND_GFI,left_240x20,4,mlp_0,58.02675485610962
19,UND_GFI,left_240x20,4,mlp_1,55.18394708633423
20,UND_GFI,left_240x20,4,mlp_2,57.190632820129395
21,UND_GFI,left_240x20,4,mlp_3,56.35451674461365
22,UND_GFI,left_240x20,4,mlp_4,55.68562150001526
23,UND_GFI,left_240x20,4,mlp_5,60.033446550369256
24,UND_GFI,left_240x20,5,mlp_0,55.35116791725161
25,UND_GFI,left_240x20,5,mlp_1,53.678929805755615
26,UND_GFI,left_240x20,5,mlp_2,57.190632820129395
27,UND_GFI,left_240x20,5,mlp_3,55.51839470863342
28,UND_GFI,left_240x20,5,mlp_4,53.84615659713745
29,UND_GFI,left_240x20,5,mlp_5,59.531772136688225
30,UND_GFI,left_240x20,6,mlp_0,57.85953402519226
31,UND_GFI,left_240x20,6,mlp_1,57.85953402519226
32,UND_GFI,left_240x20,6,mlp_2,52.173912525177
33,UND_GFI,left_240x20,6,mlp_3,57.190632820129395
34,UND_GFI,left_240x20,6,mlp_4,59.531772136688225
35,UND_GFI,left_240x20,6,mlp_5,62.04013228416443
36,UND_GFI,left_240x20,7,mlp_0,56.521737575531006
37,UND_GFI,left_240x20,7,mlp_1,56.68896436691284
38,UND_GFI,left_240x20,7,mlp_2,51.50501728057861
39,UND_GFI,left_240x20,7,mlp_3,56.521737575531006
40,UND_GFI,left_240x20,7,mlp_4,57.190632820129395
41,UND_GFI,left_240x20,7,mlp_5,57.190632820129395
42,UND_GFI,left_240x20,8,mlp_0,55.68562150001526
43,UND_GFI,left_240x20,8,mlp_1,56.02006912231445
44,UND_GFI,left_240x20,8,mlp_2,55.85284233093262
45,UND_GFI,left_240x20,8,mlp_3,52.5083601474762
46,UND_GFI,left_240x20,8,mlp_4,55.01672029495239
47,UND_GFI,left_240x20,8,mlp_5,57.35785961151123
48,UND_GFI,left_240x20,9,mlp_0,57.190632820129395
49,UND_GFI,left_240x20,9,mlp_1,51.839464902877815
50,UND_GFI,left_240x20,9,mlp_2,55.51839470863342
51,UND_GFI,left_240x20,9,mlp_3,56.35451674461365
52,UND_GFI,left_240x20,9,mlp_4,57.190632820129395
53,UND_GFI,left_240x20,9,mlp_5,54.347825050354004
54,UND_GFI,left_240x20,10,mlp_0,54.347825050354004
55,UND_GFI,left_240x20,10,mlp_1,55.35116791725161
56,UND_GFI,left_240x20,10,mlp_2,57.023411989212036
57,UND_GFI,left_240x20,10,mlp_3,59.0300977230072
58,UND_GFI,left_240x20,10,mlp_4,56.8561851978302
59,UND_GFI,left_240x20,10,mlp_5,54.682272672653205
60,UND_GFI,right_240x20,1,mlp_0,53.51170301437378
61,UND_GFI,right_240x20,1,mlp_1,56.35451674461365
62,UND_GFI,right_240x20,1,mlp_2,57.35785961151123
63,UND_GFI,right_240x20,1,mlp_3,51.003342866897576
64,UND_GFI,right_240x20,1,mlp_4,54.180604219436646
65,UND_GFI,right_240x20,1,mlp_5,55.01672029495239
66,UND_GFI,right_240x20,2,mlp_0,50.50167441368103
67,UND_GFI,right_240x20,2,mlp_1,54.180604219436646
68,UND_GFI,right_240x20,2,mlp_2,53.678929805755615
69,UND_GFI,right_240x20,2,mlp_3,55.35116791725161
70,UND_GFI,right_240x20,2,mlp_4,53.17725539207458
71,UND_GFI,right_240x20,2,mlp_5,53.01003456115723
72,UND_GFI,right_240x20,3,mlp_0,56.18728995323181
73,UND_GFI,right_240x20,3,mlp_1,52.341139316558845
74,UND_GFI,right_240x20,3,mlp_2,57.023411989212036
75,UND_GFI,right_240x20,3,mlp_3,55.35116791725161
76,UND_GFI,right_240x20,3,mlp_4,55.18394708633423
77,UND_GFI,right_240x20,3,mlp_5,55.51839470863342
78,UND_GFI,right_240x20,4,mlp_0,55.35116791725161
79,UND_GFI,right_240x20,4,mlp_1,54.84949946403504
80,UND_GFI,right_240x20,4,mlp_2,58.19398164749146
81,UND_GFI,right_240x20,4,mlp_3,60.86956262588501
82,UND_GFI,right_240x20,4,mlp_4,57.35785961151123
83,UND_GFI,right_240x20,4,mlp_5,55.18394708633423
84,UND_GFI,right_240x20,5,mlp_0,54.84949946403504
85,UND_GFI,right_240x20,5,mlp_1,55.51839470863342
86,UND_GFI,right_240x20,5,mlp_2,55.18394708633423
87,UND_GFI,right_240x20,5,mlp_3,55.51839470863342
