,param_learning_rate,param_n_estimators,split,accuracy,dataset
0,0.01,460,0,0.9022082018927445,H41
1,0.01,460,1,0.9053627760252366,H41
2,0.01,460,2,0.8924050632911392,H41
3,0.01,460,3,0.9018987341772152,H41
4,0.01,460,4,0.8670886075949367,H41
5,0.01,470,0,0.9022082018927445,H41
6,0.01,470,1,0.9053627760252366,H41
7,0.01,470,2,0.8924050632911392,H41
8,0.01,470,3,0.9018987341772152,H41
9,0.01,470,4,0.8670886075949367,H41
10,0.01,480,0,0.9022082018927445,H41
11,0.01,480,1,0.9053627760252366,H41
12,0.01,480,2,0.8924050632911392,H41
13,0.01,480,3,0.9018987341772152,H41
14,0.01,480,4,0.8670886075949367,H41
15,0.01,490,0,0.9022082018927445,H41
16,0.01,490,1,0.9053627760252366,H41
17,0.01,490,2,0.8924050632911392,H41
18,0.01,490,3,0.9018987341772152,H41
19,0.01,490,4,0.8670886075949367,H41
20,0.01,500,0,0.9022082018927445,H41
21,0.01,500,1,0.9053627760252366,H41
22,0.01,500,2,0.8924050632911392,H41
23,0.01,500,3,0.9018987341772152,H41
24,0.01,500,4,0.8670886075949367,H41
25,0.01,510,0,0.9022082018927445,H41
26,0.01,510,1,0.9053627760252366,H41
27,0.01,510,2,0.8924050632911392,H41
28,0.01,510,3,0.9018987341772152,H41
29,0.01,510,4,0.8670886075949367,H41
30,0.01,520,0,0.9022082018927445,H41
31,0.01,520,1,0.9053627760252366,H41
32,0.01,520,2,0.8924050632911392,H41
33,0.01,520,3,0.9018987341772152,H41
34,0.01,520,4,0.8670886075949367,H41
35,0.01,530,0,0.9022082018927445,H41
36,0.01,530,1,0.9053627760252366,H41
37,0.01,530,2,0.8955696202531646,H41
38,0.01,530,3,0.9018987341772152,H41
39,0.01,530,4,0.8670886075949367,H41
40,0.01,540,0,0.9022082018927445,H41
41,0.01,540,1,0.9053627760252366,H41
42,0.01,540,2,0.8955696202531646,H41
43,0.01,540,3,0.8987341772151899,H41
44,0.01,540,4,0.8670886075949367,H41
45,0.01,550,0,0.9022082018927445,H41
46,0.01,550,1,0.9053627760252366,H41
47,0.01,550,2,0.8955696202531646,H41
48,0.01,550,3,0.8955696202531646,H41
49,0.01,550,4,0.8670886075949367,H41
50,0.01,560,0,0.9022082018927445,H41
51,0.01,560,1,0.9053627760252366,H41
52,0.01,560,2,0.8955696202531646,H41
53,0.01,560,3,0.8987341772151899,H41
54,0.01,560,4,0.8670886075949367,H41
55,0.02,260,0,0.9022082018927445,H41
56,0.02,260,1,0.9053627760252366,H41
57,0.02,260,2,0.8924050632911392,H41
58,0.02,260,3,0.8987341772151899,H41
59,0.02,260,4,0.8670886075949367,H41
60,0.02,270,0,0.9022082018927445,H41
61,0.02,270,1,0.9085173501577287,H41
62,0.02,270,2,0.8924050632911392,H41
63,0.02,270,3,0.8987341772151899,H41
64,0.02,270,4,0.8670886075949367,H41
65,0.02,280,0,0.9022082018927445,H41
66,0.02,280,1,0.9085173501577287,H41
67,0.02,280,2,0.8924050632911392,H41
68,0.02,280,3,0.8987341772151899,H41
69,0.02,280,4,0.8670886075949367,H41
70,0.02,290,0,0.9022082018927445,H41
71,0.02,290,1,0.9085173501577287,H41
72,0.02,290,2,0.8924050632911392,H41
73,0.02,290,3,0.8987341772151899,H41
74,0.02,290,4,0.8670886075949367,H41
75,0.02,300,0,0.9022082018927445,H41
76,0.02,300,1,0.9053627760252366,H41
77,0.02,300,2,0.8924050632911392,H41
78,0.02,300,3,0.8955696202531646,H41
79,0.02,300,4,0.8670886075949367,H41
80,0.02,310,0,0.9022082018927445,H41
81,0.02,310,1,0.9085173501577287,H41
82,0.02,310,2,0.8924050632911392,H41
83,0.02,310,3,0.8955696202531646,H41
84,0.02,310,4,0.8670886075949367,H41
85,0.02,320,0,0.9022082018927445,H41
86,0.02,320,1,0.9085173501577287,H41
87,0.02,320,2,0.8924050632911392,H41
88,0.02,320,3,0.8955696202531646,H41
89,0.02,320,4,0.8670886075949367,H41
90,0.02,330,0,0.9022082018927445,H41
91,0.02,330,1,0.9085173501577287,H41
92,0.02,330,2,0.8924050632911392,H41
93,0.02,330,3,0.8955696202531646,H41
94,0.02,330,4,0.8670886075949367,H41
95,0.02,340,0,0.9022082018927445,H41
96,0.02,340,1,0.9085173501577287,H41
97,0.02,340,2,0.8924050632911392,H41
98,0.02,340,3,0.8955696202531646,H41
99,0.02,340,4,0.8670886075949367,H41
100,0.02,350,0,0.9022082018927445,H41
101,0.02,350,1,0.9085173501577287,H41
102,0.02,350,2,0.8924050632911392,H41
103,0.02,350,3,0.8955696202531646,H41
104,0.02,350,4,0.8670886075949367,H41
105,0.02,360,0,0.9022082018927445,H41
106,0.02,360,1,0.9085173501577287,H41
107,0.02,360,2,0.8924050632911392,H41
108,0.02,360,3,0.8955696202531646,H41
109,0.02,360,4,0.8670886075949367,H41
110,0.03,110,0,0.9022082018927445,H41
111,0.03,110,1,0.9053627760252366,H41
112,0.03,110,2,0.8924050632911392,H41
113,0.03,110,3,0.8987341772151899,H41
114,0.03,110,4,0.8670886075949367,H41
115,0.03,120,0,0.9022082018927445,H41
116,0.03,120,1,0.9053627760252366,H41
117,0.03,120,2,0.8924050632911392,H41
118,0.03,120,3,0.8987341772151899,H41
119,0.03,120,4,0.8670886075949367,H41
120,0.03,130,0,0.9022082018927445,H41
121,0.03,130,1,0.9053627760252366,H41
122,0.03,130,2,0.8924050632911392,H41
123,0.03,130,3,0.8987341772151899,H41
124,0.03,130,4,0.8670886075949367,H41
125,0.03,140,0,0.9022082018927445,H41
126,0.03,140,1,0.9053627760252366,H41
127,0.03,140,2,0.8924050632911392,H41
128,0.03,140,3,0.8987341772151899,H41
129,0.03,140,4,0.8670886075949367,H41
130,0.03,150,0,0.9022082018927445,H41
131,0.03,150,1,0.9053627760252366,H41
132,0.03,150,2,0.8924050632911392,H41
133,0.03,150,3,0.8987341772151899,H41
134,0.03,150,4,0.8670886075949367,H41
135,0.03,160,0,0.9022082018927445,H41
136,0.03,160,1,0.9053627760252366,H41
137,0.03,160,2,0.8924050632911392,H41
138,0.03,160,3,0.8987341772151899,H41
139,0.03,160,4,0.8670886075949367,H41
140,0.03,170,0,0.8990536277602523,H41
141,0.03,170,1,0.9053627760252366,H41
142,0.03,170,2,0.8924050632911392,H41
143,0.03,170,3,0.8892405063291139,H41
144,0.03,170,4,0.8670886075949367,H41
145,0.03,180,0,0.8990536277602523,H41
146,0.03,180,1,0.9053627760252366,H41
147,0.03,180,2,0.8924050632911392,H41
148,0.03,180,3,0.8892405063291139,H41
149,0.03,180,4,0.8670886075949367,H41
150,0.03,190,0,0.8990536277602523,H41
151,0.03,190,1,0.9053627760252366,H41
152,0.03,190,2,0.8924050632911392,H41
153,0.03,190,3,0.8924050632911392,H41
154,0.03,190,4,0.8670886075949367,H41
155,0.03,200,0,0.8990536277602523,H41
156,0.03,200,1,0.9085173501577287,H41
157,0.03,200,2,0.8924050632911392,H41
158,0.03,200,3,0.8924050632911392,H41
159,0.03,200,4,0.8670886075949367,H41
160,0.03,210,0,0.8990536277602523,H41
161,0.03,210,1,0.9085173501577287,H41
162,0.03,210,2,0.8924050632911392,H41
163,0.03,210,3,0.8924050632911392,H41
164,0.03,210,4,0.8670886075949367,H41
165,0.04,90,0,0.9022082018927445,H41
166,0.04,90,1,0.9053627760252366,H41
167,0.04,90,2,0.8924050632911392,H41
168,0.04,90,3,0.8987341772151899,H41
169,0.04,90,4,0.8670886075949367,H41
170,0.04,100,0,0.9022082018927445,H41
171,0.04,100,1,0.9053627760252366,H41
172,0.04,100,2,0.8924050632911392,H41
173,0.04,100,3,0.8987341772151899,H41
174,0.04,100,4,0.8670886075949367,H41
175,0.04,110,0,0.9022082018927445,H41
176,0.04,110,1,0.9053627760252366,H41
177,0.04,110,2,0.8924050632911392,H41
178,0.04,110,3,0.8955696202531646,H41
179,0.04,110,4,0.8670886075949367,H41
180,0.04,120,0,0.9022082018927445,H41
181,0.04,120,1,0.9085173501577287,H41
182,0.04,120,2,0.8924050632911392,H41
183,0.04,120,3,0.8955696202531646,H41
184,0.04,120,4,0.8670886075949367,H41
185,0.04,130,0,0.9022082018927445,H41
186,0.04,130,1,0.9085173501577287,H41
187,0.04,130,2,0.8924050632911392,H41
188,0.04,130,3,0.8924050632911392,H41
189,0.04,130,4,0.8670886075949367,H41
190,0.04,140,0,0.9022082018927445,H41
191,0.04,140,1,0.9085173501577287,H41
192,0.04,140,2,0.8924050632911392,H41
193,0.04,140,3,0.8924050632911392,H41
194,0.04,140,4,0.8670886075949367,H41
195,0.04,150,0,0.9022082018927445,H41
196,0.04,150,1,0.9085173501577287,H41
197,0.04,150,2,0.8924050632911392,H41
198,0.04,150,3,0.8955696202531646,H41
199,0.04,150,4,0.8670886075949367,H41
200,0.04,160,0,0.9022082018927445,H41
201,0.04,160,1,0.9085173501577287,H41
202,0.04,160,2,0.8924050632911392,H41
203,0.04,160,3,0.8924050632911392,H41
204,0.04,160,4,0.8670886075949367,H41
205,0.04,170,0,0.9022082018927445,H41
206,0.04,170,1,0.9085173501577287,H41
207,0.04,170,2,0.8892405063291139,H41
208,0.04,170,3,0.8924050632911392,H41
209,0.04,170,4,0.8670886075949367,H41
210,0.04,180,0,0.9022082018927445,H41
211,0.04,180,1,0.9085173501577287,H41
212,0.04,180,2,0.8892405063291139,H41
213,0.04,180,3,0.8955696202531646,H41
214,0.04,180,4,0.8670886075949367,H41
215,0.04,190,0,0.8990536277602523,H41
216,0.04,190,1,0.9085173501577287,H41
217,0.04,190,2,0.8924050632911392,H41
218,0.04,190,3,0.8955696202531646,H41
219,0.04,190,4,0.8670886075949367,H41
220,0.05,60,0,0.9022082018927445,H41
221,0.05,60,1,0.9053627760252366,H41
222,0.05,60,2,0.8924050632911392,H41
223,0.05,60,3,0.8987341772151899,H41
224,0.05,60,4,0.8670886075949367,H41
225,0.05,70,0,0.9022082018927445,H41
226,0.05,70,1,0.9053627760252366,H41
227,0.05,70,2,0.8924050632911392,H41
228,0.05,70,3,0.8987341772151899,H41
229,0.05,70,4,0.8670886075949367,H41
230,0.05,80,0,0.9022082018927445,H41
231,0.05,80,1,0.9053627760252366,H41
232,0.05,80,2,0.8924050632911392,H41
233,0.05,80,3,0.8987341772151899,H41
234,0.05,80,4,0.8670886075949367,H41
235,0.05,90,0,0.9022082018927445,H41
236,0.05,90,1,0.9053627760252366,H41
237,0.05,90,2,0.8924050632911392,H41
238,0.05,90,3,0.8987341772151899,H41
239,0.05,90,4,0.8670886075949367,H41
240,0.05,100,0,0.9022082018927445,H41
241,0.05,100,1,0.9053627760252366,H41
242,0.05,100,2,0.8924050632911392,H41
243,0.05,100,3,0.9018987341772152,H41
244,0.05,100,4,0.8670886075949367,H41
245,0.05,110,0,0.9022082018927445,H41
246,0.05,110,1,0.9053627760252366,H41
247,0.05,110,2,0.8924050632911392,H41
248,0.05,110,3,0.8955696202531646,H41
249,0.05,110,4,0.8670886075949367,H41
250,0.05,120,0,0.9022082018927445,H41
251,0.05,120,1,0.9053627760252366,H41
252,0.05,120,2,0.8892405063291139,H41
253,0.05,120,3,0.8955696202531646,H41
254,0.05,120,4,0.8670886075949367,H41
255,0.05,130,0,0.8990536277602523,H41
256,0.05,130,1,0.9053627760252366,H41
257,0.05,130,2,0.8924050632911392,H41
258,0.05,130,3,0.8892405063291139,H41
259,0.05,130,4,0.8670886075949367,H41
260,0.05,140,0,0.8990536277602523,H41
261,0.05,140,1,0.9053627760252366,H41
262,0.05,140,2,0.8924050632911392,H41
263,0.05,140,3,0.8892405063291139,H41
264,0.05,140,4,0.8670886075949367,H41
265,0.05,150,0,0.8958990536277602,H41
266,0.05,150,1,0.9053627760252366,H41
267,0.05,150,2,0.8924050632911392,H41
268,0.05,150,3,0.8860759493670886,H41
269,0.05,150,4,0.8670886075949367,H41
270,0.05,160,0,0.8958990536277602,H41
271,0.05,160,1,0.9053627760252366,H41
272,0.05,160,2,0.8924050632911392,H41
273,0.05,160,3,0.8860759493670886,H41
274,0.05,160,4,0.8670886075949367,H41
275,0.06,50,0,0.9022082018927445,H41
276,0.06,50,1,0.9053627760252366,H41
277,0.06,50,2,0.8924050632911392,H41
278,0.06,50,3,0.8987341772151899,H41
279,0.06,50,4,0.8670886075949367,H41
280,0.06,60,0,0.9022082018927445,H41
281,0.06,60,1,0.9053627760252366,H41
282,0.06,60,2,0.8924050632911392,H41
283,0.06,60,3,0.9018987341772152,H41
284,0.06,60,4,0.8670886075949367,H41
285,0.06,70,0,0.9022082018927445,H41
286,0.06,70,1,0.9053627760252366,H41
287,0.06,70,2,0.8924050632911392,H41
288,0.06,70,3,0.9018987341772152,H41
289,0.06,70,4,0.8670886075949367,H41
290,0.06,80,0,0.9022082018927445,H41
291,0.06,80,1,0.9053627760252366,H41
292,0.06,80,2,0.8955696202531646,H41
293,0.06,80,3,0.8987341772151899,H41
294,0.06,80,4,0.8670886075949367,H41
295,0.06,90,0,0.9022082018927445,H41
296,0.06,90,1,0.9022082018927445,H41
297,0.06,90,2,0.8924050632911392,H41
298,0.06,90,3,0.8955696202531646,H41
299,0.06,90,4,0.8670886075949367,H41
300,0.06,100,0,0.9022082018927445,H41
301,0.06,100,1,0.9022082018927445,H41
302,0.06,100,2,0.8955696202531646,H41
303,0.06,100,3,0.8955696202531646,H41
304,0.06,100,4,0.8670886075949367,H41
305,0.06,110,0,0.8990536277602523,H41
306,0.06,110,1,0.9022082018927445,H41
307,0.06,110,2,0.8955696202531646,H41
308,0.06,110,3,0.8955696202531646,H41
309,0.06,110,4,0.8670886075949367,H41
310,0.06,120,0,0.8990536277602523,H41
311,0.06,120,1,0.9053627760252366,H41
312,0.06,120,2,0.8955696202531646,H41
313,0.06,120,3,0.8955696202531646,H41
314,0.06,120,4,0.8670886075949367,H41
315,0.06,130,0,0.8990536277602523,H41
316,0.06,130,1,0.9022082018927445,H41
317,0.06,130,2,0.8924050632911392,H41
318,0.06,130,3,0.8955696202531646,H41
319,0.06,130,4,0.8670886075949367,H41
320,0.06,140,0,0.8990536277602523,H41
321,0.06,140,1,0.9022082018927445,H41
322,0.06,140,2,0.8924050632911392,H41
323,0.06,140,3,0.8892405063291139,H41
324,0.06,140,4,0.8670886075949367,H41
325,0.06,150,0,0.8990536277602523,H41
326,0.06,150,1,0.9022082018927445,H41
327,0.06,150,2,0.8955696202531646,H41
328,0.06,150,3,0.8860759493670886,H41
329,0.06,150,4,0.8670886075949367,H41
330,0.07,20,0,0.9022082018927445,H41
331,0.07,20,1,0.9053627760252366,H41
332,0.07,20,2,0.8924050632911392,H41
333,0.07,20,3,0.8987341772151899,H41
334,0.07,20,4,0.8670886075949367,H41
335,0.07,30,0,0.9022082018927445,H41
336,0.07,30,1,0.9053627760252366,H41
337,0.07,30,2,0.8924050632911392,H41
338,0.07,30,3,0.8987341772151899,H41
339,0.07,30,4,0.8670886075949367,H41
340,0.07,40,0,0.9022082018927445,H41
341,0.07,40,1,0.9053627760252366,H41
342,0.07,40,2,0.8924050632911392,H41
343,0.07,40,3,0.8987341772151899,H41
344,0.07,40,4,0.8670886075949367,H41
