,param_max_depth,param_min_child_weight,split,accuracy,dataset
0,3,0.0,0,0.6,left_240x20
1,3,0.0,1,0.6333333333333333,left_240x20
2,3,0.0,2,0.5380952380952381,left_240x20
3,3,0.0,3,0.5789473684210527,left_240x20
4,3,0.0,4,0.6267942583732058,left_240x20
5,3,0.2,0,0.6142857142857143,left_240x20
6,3,0.2,1,0.6428571428571429,left_240x20
7,3,0.2,2,0.5761904761904761,left_240x20
8,3,0.2,3,0.583732057416268,left_240x20
9,3,0.2,4,0.6267942583732058,left_240x20
10,3,0.4,0,0.5904761904761905,left_240x20
11,3,0.4,1,0.6428571428571429,left_240x20
12,3,0.4,2,0.5380952380952381,left_240x20
13,3,0.4,3,0.5885167464114832,left_240x20
14,3,0.4,4,0.6172248803827751,left_240x20
15,3,0.6000000000000001,0,0.5857142857142857,left_240x20
16,3,0.6000000000000001,1,0.638095238095238,left_240x20
17,3,0.6000000000000001,2,0.5666666666666667,left_240x20
18,3,0.6000000000000001,3,0.5741626794258373,left_240x20
19,3,0.6000000000000001,4,0.5933014354066986,left_240x20
20,3,0.8,0,0.5714285714285714,left_240x20
21,3,0.8,1,0.5857142857142857,left_240x20
22,3,0.8,2,0.5190476190476191,left_240x20
23,3,0.8,3,0.583732057416268,left_240x20
24,3,0.8,4,0.6076555023923444,left_240x20
25,3,1,0,0.5571428571428572,left_240x20
26,3,1,1,0.5666666666666667,left_240x20
27,3,1,2,0.5761904761904761,left_240x20
28,3,1,3,0.5933014354066986,left_240x20
29,3,1,4,0.583732057416268,left_240x20
30,3,2,0,0.5476190476190477,left_240x20
31,3,2,1,0.6047619047619047,left_240x20
32,3,2,2,0.5523809523809524,left_240x20
33,3,2,3,0.583732057416268,left_240x20
34,3,2,4,0.6172248803827751,left_240x20
35,3,3,0,0.5857142857142857,left_240x20
36,3,3,1,0.5904761904761905,left_240x20
37,3,3,2,0.5571428571428572,left_240x20
38,3,3,3,0.5502392344497608,left_240x20
39,3,3,4,0.583732057416268,left_240x20
40,3,4,0,0.5714285714285714,left_240x20
41,3,4,1,0.5761904761904761,left_240x20
42,3,4,2,0.5285714285714286,left_240x20
43,3,4,3,0.6076555023923444,left_240x20
44,3,4,4,0.5933014354066986,left_240x20
45,3,5,0,0.5714285714285714,left_240x20
46,3,5,1,0.6190476190476191,left_240x20
47,3,5,2,0.5714285714285714,left_240x20
48,3,5,3,0.5885167464114832,left_240x20
49,3,5,4,0.583732057416268,left_240x20
50,4,0.0,0,0.5619047619047619,left_240x20
51,4,0.0,1,0.5952380952380952,left_240x20
52,4,0.0,2,0.5428571428571428,left_240x20
53,4,0.0,3,0.6363636363636364,left_240x20
54,4,0.0,4,0.6172248803827751,left_240x20
55,4,0.2,0,0.6,left_240x20
56,4,0.2,1,0.6,left_240x20
57,4,0.2,2,0.5666666666666667,left_240x20
58,4,0.2,3,0.6124401913875598,left_240x20
59,4,0.2,4,0.5980861244019139,left_240x20
60,4,0.4,0,0.580952380952381,left_240x20
61,4,0.4,1,0.6238095238095238,left_240x20
62,4,0.4,2,0.5380952380952381,left_240x20
63,4,0.4,3,0.6411483253588517,left_240x20
64,4,0.4,4,0.6124401913875598,left_240x20
65,4,0.6000000000000001,0,0.6,left_240x20
66,4,0.6000000000000001,1,0.5857142857142857,left_240x20
67,4,0.6000000000000001,2,0.5904761904761905,left_240x20
68,4,0.6000000000000001,3,0.583732057416268,left_240x20
69,4,0.6000000000000001,4,0.5980861244019139,left_240x20
70,4,0.8,0,0.5952380952380952,left_240x20
71,4,0.8,1,0.5952380952380952,left_240x20
72,4,0.8,2,0.6047619047619047,left_240x20
73,4,0.8,3,0.5980861244019139,left_240x20
74,4,0.8,4,0.5789473684210527,left_240x20
75,4,1,0,0.5571428571428572,left_240x20
76,4,1,1,0.5761904761904761,left_240x20
77,4,1,2,0.5476190476190477,left_240x20
78,4,1,3,0.5789473684210527,left_240x20
79,4,1,4,0.6220095693779905,left_240x20
80,4,2,0,0.5523809523809524,left_240x20
81,4,2,1,0.5714285714285714,left_240x20
82,4,2,2,0.580952380952381,left_240x20
83,4,2,3,0.5789473684210527,left_240x20
84,4,2,4,0.631578947368421,left_240x20
85,4,3,0,0.5523809523809524,left_240x20
86,4,3,1,0.6047619047619047,left_240x20
87,4,3,2,0.5857142857142857,left_240x20
88,4,3,3,0.6124401913875598,left_240x20
89,4,3,4,0.6220095693779905,left_240x20
90,4,4,0,0.5857142857142857,left_240x20
91,4,4,1,0.5952380952380952,left_240x20
92,4,4,2,0.5666666666666667,left_240x20
93,4,4,3,0.5645933014354066,left_240x20
94,4,4,4,0.5933014354066986,left_240x20
95,4,5,0,0.5857142857142857,left_240x20
96,4,5,1,0.6333333333333333,left_240x20
97,4,5,2,0.5619047619047619,left_240x20
98,4,5,3,0.5789473684210527,left_240x20
99,4,5,4,0.6267942583732058,left_240x20
100,5,0.0,0,0.6047619047619047,left_240x20
101,5,0.0,1,0.5666666666666667,left_240x20
102,5,0.0,2,0.5238095238095238,left_240x20
103,5,0.0,3,0.6124401913875598,left_240x20
104,5,0.0,4,0.5885167464114832,left_240x20
105,5,0.2,0,0.5761904761904761,left_240x20
106,5,0.2,1,0.580952380952381,left_240x20
107,5,0.2,2,0.5857142857142857,left_240x20
108,5,0.2,3,0.6076555023923444,left_240x20
109,5,0.2,4,0.5789473684210527,left_240x20
110,5,0.4,0,0.6190476190476191,left_240x20
111,5,0.4,1,0.580952380952381,left_240x20
112,5,0.4,2,0.5523809523809524,left_240x20
113,5,0.4,3,0.6220095693779905,left_240x20
114,5,0.4,4,0.583732057416268,left_240x20
115,5,0.6000000000000001,0,0.5952380952380952,left_240x20
116,5,0.6000000000000001,1,0.5761904761904761,left_240x20
117,5,0.6000000000000001,2,0.5666666666666667,left_240x20
118,5,0.6000000000000001,3,0.5741626794258373,left_240x20
119,5,0.6000000000000001,4,0.5933014354066986,left_240x20
120,5,0.8,0,0.5904761904761905,left_240x20
121,5,0.8,1,0.6095238095238096,left_240x20
122,5,0.8,2,0.5238095238095238,left_240x20
123,5,0.8,3,0.6028708133971292,left_240x20
124,5,0.8,4,0.5885167464114832,left_240x20
125,5,1,0,0.6238095238095238,left_240x20
126,5,1,1,0.6047619047619047,left_240x20
127,5,1,2,0.5857142857142857,left_240x20
128,5,1,3,0.6220095693779905,left_240x20
129,5,1,4,0.6220095693779905,left_240x20
130,5,2,0,0.5476190476190477,left_240x20
131,5,2,1,0.6142857142857143,left_240x20
132,5,2,2,0.5333333333333333,left_240x20
133,5,2,3,0.5980861244019139,left_240x20
134,5,2,4,0.5980861244019139,left_240x20
135,5,3,0,0.5333333333333333,left_240x20
136,5,3,1,0.638095238095238,left_240x20
137,5,3,2,0.5714285714285714,left_240x20
138,5,3,3,0.5933014354066986,left_240x20
139,5,3,4,0.5645933014354066,left_240x20
140,5,4,0,0.5238095238095238,left_240x20
141,5,4,1,0.5666666666666667,left_240x20
142,5,4,2,0.5666666666666667,left_240x20
143,5,4,3,0.5885167464114832,left_240x20
